t_s,sigma_Mie_px,r_droplet_um,Q_ext
0,0.000000,1.0000,1.5423
5,8.000000,5.2869,1.9470
10,8.000000,6.8001,1.9244
15,8.000000,7.8358,1.9974
20,8.000000,8.6525,1.9932
25,8.000000,9.3387,1.9485
30,8.000000,9.9366,1.9893
35,8.000000,10.4701,2.0461
40,8.000000,10.9542,1.9528
45,8.000000,11.3989,2.0439
50,8.000000,11.8113,1.9585
55,8.000000,12.1969,2.0432
60,8.000000,12.5594,1.9599
65,8.000000,12.9022,2.0292
70,8.000000,13.2276,1.9957
75,8.000000,13.5378,1.9765
80,8.000000,13.8344,2.0384
85,8.000000,14.1188,1.9788
90,8.000000,14.3922,1.9846
95,8.000000,14.6555,2.0362
100,8.000000,14.9097,1.9882
105,8.000000,15.1556,1.9727
110,8.000000,15.3937,2.0268
115,8.000000,15.6247,2.0162
120,8.000000,15.8490,1.9692
125,8.000000,16.0671,1.9916
130,8.000000,16.2795,2.0317
135,8.000000,16.4865,2.0072
140,8.000000,16.6884,1.9698
145,8.000000,16.8856,1.9903
150,8.000000,17.0782,2.0282
155,8.000000,17.2666,2.0166
160,8.000000,17.4510,1.9779
165,8.000000,17.6315,1.9762
170,8.000000,17.8084,2.0120
175,8.000000,17.9819,2.0291
180,8.000000,18.1521,2.0035
185,8.000000,18.3192,1.9739
190,8.000000,18.4833,1.9811
195,8.000000,18.6445,2.0135
200,8.000000,18.8029,2.0279
205,8.000000,18.9588,2.0074
210,8.000000,19.1121,1.9785
215,8.000000,19.2630,1.9760
220,8.000000,19.4116,2.0013
225,8.000000,19.5579,2.0248
230,8.000000,19.7021,2.0209
235,8.000000,19.8442,1.9951
240,8.000000,19.9842,1.9751
245,8.000000,20.1224,1.9808
250,8.000000,20.2587,2.0054
255,8.000000,20.3931,2.0244
260,8.000000,20.5259,2.0203
265,8.000000,20.6569,1.9978
270,8.000000,20.7863,1.9779
275,8.000000,20.9141,1.9778
280,8.000000,21.0403,1.9969
285,8.000000,21.1651,2.0183
290,8.000000,21.2884,2.0244
295,8.000000,21.4103,2.0110
300,8.000000,21.5308,1.9894
305,8.000000,21.6500,1.9764
310,8.000000,21.7678,1.9815
315,8.000000,21.8845,2.0003
320,8.000000,21.9998,2.0186
325,8.000000,22.1140,2.0235
330,8.000000,22.2271,2.0121
335,8.000000,22.3389,1.9927
340,8.000000,22.4497,1.9786
345,8.000000,22.5594,1.9789
350,8.000000,22.6681,1.9930
355,8.000000,22.7757,2.0113
360,8.000000,22.8823,2.0224
365,8.000000,22.9879,2.0197
370,8.000000,23.0925,2.0053
375,8.000000,23.1962,1.9881
380,8.000000,23.2990,1.9781
385,8.000000,23.4009,1.9810
390,8.000000,23.5020,1.9945
395,8.000000,23.6021,2.0110
400,8.000000,23.7014,2.0213
405,8.000000,23.7999,2.0201
410,8.000000,23.8976,2.0084
415,8.000000,23.9945,1.9926
420,8.000000,24.0906,1.9808
425,8.000000,24.1859,1.9790
430,8.000000,24.2805,1.9877
435,8.000000,24.3744,2.0023
440,8.000000,24.4676,2.0157
445,8.000000,24.5600,2.0215
450,8.000000,24.6518,2.0172
455,8.000000,24.7428,2.0051
460,8.000000,24.8333,1.9909
465,8.000000,24.9230,1.9810
470,8.000000,25.0121,1.9797
475,8.000000,25.1006,1.9873
480,8.000000,25.1885,2.0003
485,8.000000,25.2758,2.0131
490,8.000000,25.3624,2.0203
495,8.000000,25.4485,2.0190
500,8.000000,25.5340,2.0100
505,8.000000,25.6189,1.9971
510,8.000000,25.7033,1.9856
515,8.000000,25.7871,1.9799
520,8.000000,25.8704,1.9821
525,8.000000,25.9531,1.9912
530,8.000000,26.0353,2.0035
535,8.000000,26.1170,2.0144
540,8.000000,26.1982,2.0199
545,8.000000,26.2789,2.0181
550,8.000000,26.3591,2.0098
555,8.000000,26.4389,1.9981
560,8.000000,26.5181,1.9873
565,8.000000,26.5969,1.9810
570,8.000000,26.6752,1.9814
575,8.000000,26.7530,1.9882
580,8.000000,26.8304,1.9989
585,8.000000,26.9074,2.0098
590,8.000000,26.9839,2.0175
595,8.000000,27.0600,2.0194
600,8.000000,27.1356,2.0151
