DeltaT_C,RH,surface,theta_deg,tau_min,t_s,tau,C,A
5,0.60,Untreated glass,20,0.09,0,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,5,0.656905,0.036393,1
5,0.60,Untreated glass,20,0.09,10,0.664830,0.047478,1
5,0.60,Untreated glass,20,0.09,15,0.653115,0.060465,1
5,0.60,Untreated glass,20,0.09,20,0.628344,0.074913,1
5,0.60,Untreated glass,20,0.09,25,0.591832,0.090093,1
5,0.60,Untreated glass,20,0.09,30,0.556530,0.105112,1
5,0.60,Untreated glass,20,0.09,35,0.546542,0.119113,1
5,0.60,Untreated glass,20,0.09,40,0.527261,0.131461,1
5,0.60,Untreated glass,20,0.09,45,0.509789,0.141827,0
5,0.60,Untreated glass,20,0.09,50,0.511880,0.150178,0
5,0.60,Untreated glass,20,0.09,55,0.500327,0.156683,0
5,0.60,Untreated glass,20,0.09,60,0.505359,0.161619,0
5,0.60,Untreated glass,20,0.09,65,0.507603,0.165290,0
5,0.60,Untreated glass,20,0.09,70,0.503714,0.167981,0
5,0.60,Untreated glass,20,0.09,75,0.519983,0.169932,0
5,0.60,Untreated glass,20,0.09,80,0.513949,0.171335,0
5,0.60,Untreated glass,20,0.09,85,0.521507,0.172338,1
5,0.60,Untreated glass,20,0.09,90,0.534385,0.173053,1
5,0.60,Untreated glass,20,0.09,95,0.529558,0.173560,1
5,0.60,Untreated glass,20,0.09,100,0.536335,0.173920,1
5,0.60,Untreated glass,20,0.09,105,0.549663,0.174174,1
5,0.60,Untreated glass,20,0.09,110,0.547930,0.174354,1
5,0.60,Untreated glass,20,0.09,115,0.548381,0.174481,1
5,0.60,Untreated glass,20,0.09,120,0.560804,0.174571,1
5,0.60,Untreated glass,20,0.09,125,0.566837,0.174634,1
5,0.60,Untreated glass,20,0.09,130,0.563423,0.174679,1
5,0.60,Untreated glass,20,0.09,135,0.566914,0.174710,1
5,0.60,Untreated glass,20,0.09,140,0.577914,0.174733,1
5,0.60,Untreated glass,20,0.09,145,0.582461,0.174748,1
5,0.60,Untreated glass,20,0.09,150,0.579562,0.174759,1
5,0.60,Untreated glass,20,0.09,155,0.581186,0.174767,1
5,0.60,Untreated glass,20,0.09,160,0.590127,0.174773,1
5,0.60,Untreated glass,20,0.09,165,0.596792,0.174777,1
5,0.60,Untreated glass,20,0.09,170,0.595894,0.174779,1
5,0.60,Untreated glass,20,0.09,175,0.594109,0.174781,1
5,0.60,Untreated glass,20,0.09,180,0.598546,0.174783,1
5,0.60,Untreated glass,20,0.09,185,0.662667,0.143897,1
5,0.60,Untreated glass,20,0.09,190,0.716019,0.118469,1
5,0.60,Untreated glass,20,0.09,195,0.758578,0.097535,1
5,0.60,Untreated glass,20,0.09,200,0.795699,0.080299,1
5,0.60,Untreated glass,20,0.09,205,0.830344,0.066110,1
5,0.60,Untreated glass,20,0.09,210,0.861104,0.054428,1
5,0.60,Untreated glass,20,0.09,215,0.885888,0.044810,1
5,0.60,Untreated glass,20,0.09,220,0.905018,0.036892,1
5,0.60,Untreated glass,20,0.09,225,0.920617,0.030373,1
5,0.60,Untreated glass,20,0.09,230,0.934370,0.025005,1
5,0.60,Untreated glass,20,0.09,235,0.946532,0.020587,1
5,0.60,Untreated glass,20,0.09,240,0.956628,0.016949,1
5,0.60,Untreated glass,20,0.09,245,0.964497,0.013954,1
5,0.60,Untreated glass,20,0.09,250,0.970593,0.011488,1
5,0.60,Untreated glass,20,0.09,255,0.975594,0.009458,1
5,0.60,Untreated glass,20,0.09,260,0.979933,0.007787,1
5,0.60,Untreated glass,20,0.09,265,0.983691,0.006411,1
5,0.60,Untreated glass,20,0.09,270,0.986794,0.005278,1
5,0.60,Untreated glass,20,0.09,275,0.989232,0.004345,1
5,0.60,Untreated glass,20,0.09,280,0.991124,0.003577,1
5,0.60,Untreated glass,20,0.09,285,0.992646,0.002945,1
5,0.60,Untreated glass,20,0.09,290,0.993936,0.002425,1
5,0.60,Untreated glass,20,0.09,295,0.995048,0.001996,1
5,0.60,Untreated glass,20,0.09,300,0.995985,0.001644,1
5,0.60,Untreated glass,20,0.09,305,0.996742,0.001353,1
5,0.60,Untreated glass,20,0.09,310,0.997335,0.001114,1
5,0.60,Untreated glass,20,0.09,315,0.997801,0.000917,1
5,0.60,Untreated glass,20,0.09,320,0.998180,0.000755,1
5,0.60,Untreated glass,20,0.09,325,0.998501,0.000622,1
5,0.60,Untreated glass,20,0.09,330,0.998775,0.000512,1
5,0.60,Untreated glass,20,0.09,335,0.999005,0.000421,1
5,0.60,Untreated glass,20,0.09,340,0.999192,0.000347,1
5,0.60,Untreated glass,20,0.09,345,0.999340,0.000286,1
5,0.60,Untreated glass,20,0.09,350,0.999457,0.000235,1
5,0.60,Untreated glass,20,0.09,355,0.999551,0.000194,1
5,0.60,Untreated glass,20,0.09,360,0.999629,0.000159,1
5,0.60,Untreated glass,20,0.09,365,0.999696,0.000131,1
5,0.60,Untreated glass,20,0.09,370,0.999752,0.000108,1
5,0.60,Untreated glass,20,0.09,375,0.999798,0.000089,1
5,0.60,Untreated glass,20,0.09,380,0.999836,0.000073,1
5,0.60,Untreated glass,20,0.09,385,0.999866,0.000060,1
5,0.60,Untreated glass,20,0.09,390,0.999889,0.000050,1
5,0.60,Untreated glass,20,0.09,395,0.999909,0.000041,1
