surface,t_s,tau,sigma,coverage,mAP50,mAP50_95
Untreated glass,0,1.0,0.0,0.0,0.08695082634815696,0.045899383864860886
Untreated glass,60,0.329491,8.0,0.262906,0.06274776592993475,0.031487920391106414
Untreated glass,120,0.390291,8.0,0.283976,0.038771504254010006,0.01863761618199463
Untreated glass,180,0.433913,8.0,0.28432,0.0330546867445234,0.017067417875779922
Untreated glass,300,0.993476,8.0,0.002674,0.0869588220823329,0.04591694630315489
Untreated glass,450,0.999983,8.0,8e-06,0.08683419911630577,0.0458835663765381
Untreated glass,600,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
Hydrophilic coat,0,1.0,0.0,0.0,0.08695082634815696,0.045899383864860886
Hydrophilic coat,60,0.617951,8.0,0.266094,0.04536488828037066,0.024278612354183545
Hydrophilic coat,120,0.663944,8.0,0.284031,0.04556875356706737,0.024398938481594006
Hydrophilic coat,180,0.694886,8.0,0.284321,0.046264653583999185,0.02477963204033291
Hydrophilic coat,300,0.997136,8.0,0.002674,0.08687454603678048,0.04589870441368557
Hydrophilic coat,450,0.999993,8.0,8e-06,0.08693663524508324,0.045892804484633114
Hydrophilic coat,600,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
Hydrophobic coat,0,1.0,0.0,0.0,0.08695082634815696,0.045899383864860886
Hydrophobic coat,60,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
Hydrophobic coat,120,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
Hydrophobic coat,180,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
Hydrophobic coat,300,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
Hydrophobic coat,450,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
Hydrophobic coat,600,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
Superhydrophobic,0,1.0,0.0,0.0,0.08695082634815696,0.045899383864860886
Superhydrophobic,60,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
Superhydrophobic,120,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
Superhydrophobic,180,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
Superhydrophobic,300,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
Superhydrophobic,450,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
Superhydrophobic,600,1.0,8.0,0.0,0.08684022462894703,0.045884216025620095
