surface,t_s,tau,sigma,coverage,mAP50,mAP50_95
Untreated glass,0,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Untreated glass,60,0.381412,8.0,0.228254,0.06840193268074597,0.03550968290112612
Untreated glass,120,0.441821,8.0,0.246546,0.046695046558047994,0.02331101965304605
Untreated glass,180,0.48439,8.0,0.246845,0.037303267087096255,0.019363604819904262
Untreated glass,300,0.994334,8.0,0.002321,0.08962783193764223,0.04821550188768145
Untreated glass,450,0.999985,8.0,7e-06,0.08964445117457433,0.04822191851232757
Untreated glass,600,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
Hydrophilic coat,0,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Hydrophilic coat,60,0.658427,8.0,0.231021,0.05193854799730777,0.02810100101045341
Hydrophilic coat,120,0.70077,8.0,0.246595,0.052113428467476054,0.02802535150282318
Hydrophilic coat,180,0.729038,8.0,0.246846,0.05238996320185131,0.028111675080189576
Hydrophilic coat,300,0.997513,8.0,0.002321,0.0896188744023298,0.04824557467902488
Hydrophilic coat,450,0.999994,8.0,7e-06,0.0896188744023298,0.04824557467902488
Hydrophilic coat,600,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
Hydrophobic coat,0,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Hydrophobic coat,60,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
Hydrophobic coat,120,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
Hydrophobic coat,180,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
Hydrophobic coat,300,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
Hydrophobic coat,450,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
Hydrophobic coat,600,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
Superhydrophobic,0,1.0,0.0,0.0,0.08966481225492182,0.04822099826725983
Superhydrophobic,60,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
Superhydrophobic,120,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
Superhydrophobic,180,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
Superhydrophobic,300,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
Superhydrophobic,450,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
Superhydrophobic,600,1.0,8.0,0.0,0.08949188434001071,0.04823207767835763
